LakeName,County,Species,RegulationType,DailyLimit,PossessionLimit,MinimumSize,MaximumSize,ProtectedSlot,IsCatchAndRelease,RegulationDetails
"CROW WING LAKES, 8th, 9th, and 10th","Hubbard","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"CRYSTAL LAKE","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"DAM LAKE and connected Lily Lake and Dam Brook","Aitkin","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"DEER LAKE","Beltrami","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"DEER LAKE","Beltrami","Northern Pike","PossessionLimit",,3,"","","",False,"Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"""
"DEER LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"DEER LAKE near Effie","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"DEER LAKE including Otter Tail River","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"DEMONTREVILLE LAKE","Washington","Largemouth Bass","General",,,"","","",False,"Largemouth bass: catch‑and‑release only"
"DIAMOND LAKE","Kandiyohi","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"DUTCH LAKE","Hennepin","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"DUTCH LAKE","Hennepin","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"DYERS LAKE","Cook","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"DYERS LAKE","Cook","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"AST LOST LAKE including Otter Tail River","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"AST TWIN LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"AST TWIN LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"AST TWIN LAKE","Crow Wing","Catfish","General",,,"","","",False,"⁕NEW—EDEN LAKE (Stearns) Catfish special regulation repealed"
"DWARD LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"DWARD LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LEPHANT LAKE","St. Louis","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"LLIOT LAKE","St. Louis","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"UNICE LAKE","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"UNICE LAKE","Becker","Crappie","SizeLimit",,,"10""","","",False,"Crappie: minimum size limit 10"""
"UNICE LAKE","Becker","Smallmouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1over 20"" allowed in possession"
"UNICE LAKE","Becker","Northern Pike","General",,,"","","",False,"⁕NEW—FARM LAKE (Lake) Northern pike special regulation repealed"
"UNICE LAKE","Becker","Walleye","General",,,"","","",False,"Walleye: (includes the North Branch Kawishiwi River from Farm Lake 4"
"FARM ISLAND LAKE","Aitkin","Walleye","ProtectedSlot",,,"","","16-19""",False,"Walleye: all from 16-19"" must be immediately released, only 1 over 20"" allowed in possession"
"FARM ISLAND LAKE","Aitkin","Sunfish","DailyLimit",5,,"","","",False,"⁕NEW—FISH LAKE near Parkers Prairie (Otter Tail) Sunfish: daily limit 5"
"FARM ISLAND LAKE","Aitkin","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"FARM ISLAND LAKE","Aitkin","Sunfish","DailyLimit",5,,"","","",False,"⁕NEW—FISH LAKE near Weetown (Otter Tail) Sunfish: daily limit 5"
"FARM ISLAND LAKE","Aitkin","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"FISH LAKE RESERVOIR","St. Louis","Walleye","General",,,"","","",False,"Walleye: all less than 13"" or greater than 17"" must be immediately released, except 1 over 26"" allowed in possession"
"FISH LAKE RESERVOIR","St. Louis","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"FISH LAKE RESERVOIR","St. Louis","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"FISH TRAP LAKE","Morrison","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"FLADMARK LAKE","Otter Tail","Sunfish","PossessionLimit",,10,"","","",False,"Sunfish: possession limit 10"
"FLADMARK LAKE","Otter Tail","Northern Pike","CatchAndRelease",,,"","","",True,"Northern pike, largemouth and smallmouth bass: catch-and-release only"
"FLADMARK LAKE","Otter Tail","Crappie","PossessionLimit",,5,"","","",False,"Crappie: possession limit 5"
"FLORIDA LAKE","Kandiyohi","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"FLOUR LAKE","Cook","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"FOSTER-AREND LAKE","Olmsted","Trout","General",,,"","","",False,"Trout: continuous season"
"FOSTER-AREND LAKE","Olmsted","Smallmouth Bass","General",,,"","","",False,"Sunfish, crappie, yellow perch, largemouth and smallmouth bass, see Rochester–Olmsted County Area Lakes"
"FRANKLIN LAKE","Otter Tail","Crappie","Combined",5,,"10""","","",False,"Crappie: minimum size limit 10"", daily limit 5"
"FRANKLIN LAKE","Otter Tail","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GAMEHAVEN","Boy Scout Lake or Willow Reservoir No. 4","Northern Pike","General",,,"","","",False,"⁕NEW—GARDEN LAKE (Lake) Northern pike special regulation repealed"
"GAMEHAVEN","Boy Scout Lake or Willow Reservoir No. 4","Walleye","ProtectedSlot",,,"","","17-26""",False,"Walleye: all from 17-26"" must be immediately released, only one over 26"" allowed in possession"
"GARFIELD LAKE","Hubbard","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GEORGE LAKE","Hubbard","Northern Pike","General",,,"","","",False,"Northern pike: all from 24""-36"" must be immediately released"
"GEORGE LAKE","Hubbard","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"GEORGE LAKE","Kandiyohi","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"GEORGE LAKE","Kandiyohi","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GILBERT LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"GILBERT LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GILCHRIST LAKE","Pope","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"GIRL LAKE","Cass","Northern Pike","General",,,"","","",False,"Northern pike: all from 24""-36"" must be immediately released"
"GLADSTONE LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"GLADSTONE LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GOODRICH LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"GOODRICH LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GOOSE LAKE","Chisago","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
