LakeName,County,RegulationText,HasCrossReference,IsCompoundEntry,SpeciesCount
"JAY GOULD including Little Jay Gould and Blackwater Reservoir upstream to Highway 6","Itasca","Sunfish: daily limit 5.",False,True,1
"JULIA LAKE","Beltrami","Sunfish: daily limit 5.",False,False,1
"KABEKONA LAKE","Hubbard","Walleye: all from 20-26"" must be immediately released. Possession limit 4, only 1 over 26"" allowed in possession.",False,False,1
"KABETOGAMA LAKE including Sullivan Bay and Ash River to Ash River Falls","St. Louis","Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession. Walleye and sauger: possession limit 6 combined, only 4 may be walleye.",False,True,2
"KALMAR RESERVOIR","Olmsted","See Rochester–Olmsted County Area Lakes.",True,False,0
"KERBS","Otter Tail","See Little McDonald Lake.",True,False,0
"KITCHI LAKE","Beltrami","See Cass Lake Chain.",True,False,0
"KNAUS LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"KNIFE LAKE","Kanabec","Walleye: all from 18-24"" must be immediately released, only 1 over 24"" allowed in possession. Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"" allowed in possession.",False,False,2
"KRAYS LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"LA SALLE LAKE","Hubbard","Walleye: possession limit 2. Largemouth and smallmouth bass: catch-and-release only. Northern pike: possession limit 1. Crappie: possession limit 5. Sunfish: possession limit 5. Yellow perch: possession limit 10. ⁕NEW—LAC QUI PARLE LAKE upstream to Marsh Lake Dam, including the Watson Sag upstream to the diversion dam (Lac qui Parle and Chippewa) Walleye: possession limit 4, only 1 over 20"". Crappie: daily limit 5.",False,False,8
"LADY LAKE near Grey Eagle","Todd","Sunfish: daily limit 5.",False,False,1
"LAKE OF THE WOODS and tributaries","Lake of the Woods and Roseau","See pages 67-70.",True,False,0
"LEECH LAKE","Cass","Crappie: daily limit 5. Sunfish: daily limit 5. Walleye: possession limit 4, only 1 over 20"".",False,False,3
"LESTER LAKE","Hubbard","All species: catch-and-release only.",False,False,0
"LEVEN LAKE","Pope","Sunfish: daily limit 10.",False,False,1
"LIDA LAKES, South and North, including Mud Lake","Otter Tail","Crappie: minimum size limit 11"". Walleye: all from 17-26"" must be immediately released, only 1 over 26"" allowed in possession. Sunfish: daily limit 10.",False,True,3
"LILY LAKE and connected Long Lake","Todd","Sunfish: daily limit 5.",False,True,1
"LIND LAKE","Cass","Sunfish: daily limit 5.",False,False,1
"LITTLE BOWSTRING LAKE","Itasca","Sunfish: daily limit 5.",False,False,1
"LITTLE BOY LAKE","Cass","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"". Walleye: all from 18‑26"" must be immediately released, possession limit 4, only 1 over 26"".",False,False,2
"LITTLE CORMORANT LAKE","Becker","Sunfish: daily limit 5. Crappie: minimum size limit 10"". Daily limit 5. Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession.",False,False,3
"LITTLE CUTFOOT SIOUX","Itasca","See Winnibigoshish.",True,False,0
"LITTLE FLOYD LAKE","Becker","Northern pike: all from 24-36"" must be immediately released, daily limit 3, only 1 over 36"".",False,False,1
"LITTLE MANTRAP LAKE","Hubbard","Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"LITTLE MCDONALD LAKE including Kerbs Lake","Otter Tail","Walleye: all from 17-26"" must be immediately released, only 1 over 26"" allowed in possession.",False,True,1
"LITTLE PINE LAKE","Crow Wing","See Whitefish Chain. ⁕NEW—LITTLE PINE LAKE including Mud Lake west of County Hwy 51 and up to 425th Avenue (Otter Tail) Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession. Crappie: daily limit 5. Sunfish: daily limit 10.",True,False,0
"LITTLE RABBIT LAKE","Crow Wing","See Mississippi River.",True,False,0
"LITTLE SPLITHAND LAKE","Itasca","Sunfish: daily limit 5.",False,False,1
"LITTLE SUGAR BUSH LAKE","Becker","Sunfish: daily limit 5.",False,False,1
"LITTLE TOAD LAKE","Becker","Sunfish: daily limit 10. Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,2
"LITTLE TROUT LAKE","St. Louis","Lake trout: catch-and-release only.",False,False,1
"LITTLE TURTLE LAKE","Beltrami","See Turtle River chain of lakes.",True,False,0
"LITTLE TURTLE LAKE near Marcell","Itasca","Sunfish: daily limit 5.",False,False,1
"LITTLE VERMILION LAKE including Loon River to Loon River Falls portage","St. Louis","Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession. Walleye and sauger: possession limit 6 combined, only 4 may be walleye.",False,True,2
"LITTLE WEBB LAKE","Cass","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"LITTLE WOMAN LAKE","Cass","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"LONG LAKE near Hawick","Kandiyohi","Largemouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession. Sunfish: daily limit 10.",False,False,2
"LONG LAKE near Clearwater","Stearns","Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession. ⁕NEW—LONG LAKE south of Richmond (Stearns) Special regulation for catfish repealed. Sunfish: daily limit 10.",False,False,3
"LONG LAKE including connected Lily Lake","Todd","Sunfish: daily limit 5.",False,True,1
"LONG LAKE near Burtrum","Todd","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"LONG LAKE near Spaulding","Todd","Sunfish: possession limit 10.",False,False,1
"LONG LAKE near Vergas","Otter Tail","Sunfish: daily limit 10.",False,False,1
"LOVE LAKE","Cass","See Gull Chain.",True,False,0
"LOW LAKE","St. Louis","Sunfish: daily limit 10.",False,False,1
"LOWER HAY LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"MAHNOMEN MINE and connected Alstead and Arco Mines","Crow Wing","Lake trout: minimum length limit 20"". Possession limit 1.",False,True,1
"MANDALL LAKE","Chisago","Crappie: daily limit 5. Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession.",False,False,2
"MANOR WOODS POND","Country Club Pond","(Olmsted) See Rochester–Olmsted County Area Lakes.",True,False,0
"MAPLE LAKE","Douglas","Crappie: minimum size limit 10"". Daily limit 5.",False,False,1
"MAPLE LAKE","Todd","Sunfish: daily limit 10.",False,False,1
"MAPLE LAKE, Upper","Wright","Crappie: daily limit 5. Sunfish: daily limit 10.",False,False,2
"MARGARET LAKE","Cass","See Gull Chain.",True,False,0
"MARION LAKE","Dakota","Sunfish: daily limit 5.",False,False,1
"MARTIN LAKE","Anoka","Sunfish: daily limit 10.",False,False,1
"MARY LAKE","Hubbard","Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession. Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,3
"MARY LAKE","Todd","Sunfish: daily limit 5.",False,False,1
"MAUD LAKE","Becker","Sunfish: daily limit 5. Crappie: size limit 10"". Daily limit 5. Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,3
"MAZASKA LAKE","Rice","Sunfish: daily limit 5.",False,False,1
"MEDICINE LAKE","Beltrami","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"". Sunfish: daily limit 5.",False,False,2
"MEDICINE LAKE","Hennepin","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"MELISSA LAKE","Becker","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"MIDDLE LAKE","Otter Tail","Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession. Sunfish: daily limit 5.",False,False,2
"MILL LAKE","Douglas","Sunfish: daily limit 10.",False,False,1
"MILLE LACS","See mndnr.gov/millelacslake",".",False,False,0
"MINERVA LAKE","Clearwater","Sunfish: daily limit 5.",False,False,1
"MINK-SOMERS LAKE near Maple Lake","Wright","Sunfish: daily limit 5. Crappie: daily limit 5. Walleye: minimum size limit 17"". Possession limit 3, only 1 over 20"". Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession. Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"". Possession or use of live minnows is prohibited.",False,False,5
"MINNEWASHTA LAKE","Carver","Largemouth bass: catch-and-release only.",False,False,1
"MINNEWASKA LAKE","Pope","Sunfish: daily limit 10.",False,False,1
"MINNEWAWA LAKE and connected Horseshoe Lake","Aitkin","Walleye: possession limit 3. Sunfish: daily limit 10.",False,True,2
"MINNIE BELLE LAKE","Meeker","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"". Sunfish: daily limit 5.",False,False,2
"MISSION LAKES, Lower and Upper","Crow Wing","Crappie: daily limit 5. Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"". Sunfish: daily limit 5.",False,False,3
"MITCHELL LAKE","Crow Wing","Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"MOCCASIN LAKE","Cass","Largemouth bass: catch-and-release only. Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,3
"MOODY LAKE","Crow Wing","All species: catch-and-release only.",False,False,0
"MOON LAKE","Douglas","Sunfish: daily limit 5.",False,False,1
"MOOSE LAKE near Deer River","Itasca","Walleye: all from 20‑24"" must be immediately released, only 1 over 24"" allowed in possession.",False,False,1
"MOOSE LAKE","Todd","Largemouth bass: all 12"" and larger must be immediately released. Sunfish: daily limit 5.",False,False,2
"MOOSEHEAD LAKE","Carlton","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"MOUND LAKE","Todd","Crappie: possession limit 5.",False,False,1
"MOVIL LAKE including Turtle River","Beltrami","See Turtle River chain of lakes.",True,True,0
"MUKOODA LAKE","St. Louis","Lake trout: catch-and-release only.",False,False,1
"MULE LAKE","Cass","Walleye: possession limit 3.",False,False,1
"AMAKAN LAKE","St. Louis","Walleye: all from 18‑26"" must be immediately released, only 1 over 26"" allowed in possession. Walleye and sauger: possession limit 6 combined, only 4 may be walleye.",False,False,2
"AMAKAN LAKE","St. Louis","Walleye: all from 18‑26"" must be immediately released, only 1 over 26"" allowed in possession. Walleye and sauger: possession limit 6 combined, only 4 may be walleye.",False,False,2
"ST LAKE","Kandiyohi","Sunfish: daily limit 10.",False,False,1
"ISSWA LAKE","Crow Wing","See Gull Chain. ⁕NEW—NORTH BROWNS LAKE (Stearns) Catfish special regulation repealed.",True,False,0
"ORTH LONG LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
